acq_date,acq_time,latitude,longitude,confidence,district,taluka,fire_type,severity,area_affected,source
2025-08-07,958,21.10309,72.64771,0,SURAT,Chorasi,Vegetation,Low,0.0,NASA MODIS
2025-08-19,451,24.42227,72.70981,51,BANASKANTHA,Amirgadh,Vegetation,Low,5.1,NASA MODIS
